word,segments,pseudoword,statistics_overlap_ratio,statistics_plain_length,statistics_lexicality,statistics_ned1,statistics_old20,statistics_overlap,statistics_transition_frequencies_0,statistics_transition_frequencies_1,statistics_transition_frequencies_2,statistics_transition_frequencies_3,statistics_transition_frequencies_4,statistics_transition_frequencies_5,statistics_transition_frequencies_6,difference_statistics_plain_length,difference_statistics_ned1,difference_statistics_old20,difference_statistics_transition_frequencies_0,difference_statistics_transition_frequencies_1,difference_statistics_transition_frequencies_2,difference_statistics_transition_frequencies_3,difference_statistics_transition_frequencies_4,difference_statistics_transition_frequencies_5,difference_statistics_transition_frequencies_6
allee,al-lee,annee,2/3,3,N,2,1.9,4,1499,315,153,191,3,10,4323,0,1,0.04999999999999982,0,0,-64,-50,-4,0,0
allee,al-lee,astee,2/3,3,N,2,1.9,4,1499,315,155,271,4,10,4323,0,1,0.04999999999999982,0,0,-62,30,-3,0,0
allee,al-lee,aksee,2/3,3,N,0,2.0,4,1499,315,95,156,4,10,4323,0,-1,0.1499999999999999,0,0,-122,-85,-3,0,0
allee,al-lee,assee,2/3,3,N,1,2.05,4,1499,315,155,120,4,10,4323,0,0,0.19999999999999973,0,0,-62,-121,-3,0,0
allee,al-lee,askee,2/3,3,N,0,2.0,4,1499,315,155,117,1,10,4323,0,-1,0.1499999999999999,0,0,-62,-124,-6,0,0
allee,al-lee,andee,2/3,3,N,3,1.85,4,1499,315,153,176,2,10,4323,0,2,0.0,0,0,-64,-65,-5,0,0
allee,al-lee,algei,2/3,3,N,0,2.0,4,1499,315,217,152,11,5,4323,0,-1,0.1499999999999999,0,0,0,-89,4,-5,0
allee,al-lee,algoo,2/3,3,N,0,2.3,4,1499,315,217,152,1,3,4323,0,-1,0.44999999999999973,0,0,0,-89,-6,-7,0
allee,al-lee,algaa,2/3,3,N,7,1.65,4,1499,315,217,152,1,5,4323,0,6,-0.20000000000000018,0,0,0,-89,-6,-5,0
allee,al-lee,algui,2/3,3,N,2,1.9,4,1499,315,217,152,1,4,4323,0,1,0.04999999999999982,0,0,0,-89,-6,-6,0
alma,al-ma,arta,2/3,2,N,8,1.6,4,1499,315,199,46,374,1217,4323,0,2,0.0,0,0,-18,-49,-10,0,0
alma,al-ma,arja,2/3,2,N,8,1.6,4,1499,315,199,80,337,1217,4323,0,2,0.0,0,0,-18,-15,-47,0,0
alma,al-ma,ahsa,2/3,2,N,3,1.85,4,1499,315,91,3,298,1217,4323,0,-3,0.25,0,0,-126,-92,-86,0,0
alma,al-ma,ahva,2/3,2,N,5,1.75,4,1499,315,91,59,312,1217,4323,0,-1,0.1499999999999999,0,0,-126,-36,-72,0,0
alma,al-ma,ahla,2/3,2,N,4,1.8,4,1499,315,91,4,277,1217,4323,0,-2,0.19999999999999996,0,0,-126,-91,-107,0,0
alma,al-ma,ahta,2/3,2,N,6,1.7,4,1499,315,91,112,374,1217,4323,0,0,0.09999999999999987,0,0,-126,17,-10,0,0
alma,al-ma,ahja,2/3,2,N,4,1.8,4,1499,315,91,39,337,1217,4323,0,-2,0.19999999999999996,0,0,-126,-56,-47,0,0
alma,al-ma,ahna,2/3,2,N,4,1.8,4,1499,315,91,22,293,1217,4323,0,-2,0.19999999999999996,0,0,-126,-73,-91,0,0
alma,al-ma,ansa,2/3,2,N,9,1.55,4,1499,315,153,19,298,1217,4323,0,3,-0.050000000000000044,0,0,-64,-76,-86,0,0
alma,al-ma,anja,2/3,2,N,8,1.6,4,1499,315,153,4,337,1217,4323,0,2,0.0,0,0,-64,-91,-47,0,0
altar,al-tar,artam,2/3,3,N,0,2.0,4,1499,315,199,46,374,22,133,0,0,0.10000000000000009,0,0,-18,23,0,1,-31
altar,al-tar,artak,2/3,3,N,0,2.0,4,1499,315,199,46,374,18,145,0,0,0.10000000000000009,0,0,-18,23,0,-3,-19
altar,al-tar,artav,2/3,3,N,0,2.0,4,1499,315,199,46,374,63,170,0,0,0.10000000000000009,0,0,-18,23,0,42,6
altar,al-tar,arjar,2/3,3,N,0,2.0,4,1499,315,199,80,337,21,164,0,0,0.10000000000000009,0,0,-18,57,-37,0,0
altar,al-tar,armar,2/3,3,N,1,1.95,4,1499,315,199,83,384,21,164,0,1,0.050000000000000044,0,0,-18,60,10,0,0
altar,al-tar,anjar,2/3,3,N,0,2.0,4,1499,315,153,4,337,21,164,0,0,0.10000000000000009,0,0,-64,-19,-37,0,0
altar,al-tar,anvar,2/3,3,N,1,1.95,4,1499,315,153,3,312,21,164,0,1,0.050000000000000044,0,0,-64,-20,-62,0,0
altar,al-tar,antam,2/3,3,N,1,1.95,4,1499,315,153,64,374,22,133,0,1,0.050000000000000044,0,0,-64,41,0,1,-31
altar,al-tar,antav,2/3,3,N,1,1.95,4,1499,315,153,64,374,63,170,0,1,0.050000000000000044,0,0,-64,41,0,42,6
altar,al-tar,antak,2/3,3,N,2,1.9,4,1499,315,153,64,374,18,145,0,2,0.0,0,0,-64,41,0,-3,-19
amper,am-per,akjer,2/3,3,N,0,2.5,4,1499,315,95,3,45,90,164,0,-1,0.20000000000000018,0,0,32,-20,-23,0,0
amper,am-per,atjer,2/3,3,N,0,2.55,4,1499,315,73,10,45,90,164,0,-1,0.25,0,0,10,-13,-23,0,0
amper,am-per,apjer,2/3,3,N,0,2.55,4,1499,315,63,1,45,90,164,0,-1,0.25,0,0,0,-22,-23,0,0
amper,am-per,ahjer,2/3,3,N,1,2.25,4,1499,315,91,39,45,90,164,0,0,-0.04999999999999982,0,0,28,16,-23,0,0
amper,am-per,ampav,2/3,3,N,0,2.85,4,1499,315,63,23,70,63,170,0,-1,0.5500000000000003,0,0,0,0,2,-27,6
amper,am-per,abjer,2/3,3,N,0,2.65,4,1499,315,7,1,45,90,164,0,-1,0.3500000000000001,0,0,-56,-22,-23,0,0
amper,am-per,ajjer,2/3,3,N,0,2.65,4,1499,315,2,2,45,90,164,0,-1,0.3500000000000001,0,0,-61,-21,-23,0,0
amper,am-per,adver,2/3,3,N,0,2.1,4,1499,315,9,11,127,90,164,0,-1,-0.19999999999999973,0,0,-54,-12,59,0,0
amper,am-per,adjer,2/3,3,N,0,2.6,4,1499,315,9,4,45,90,164,0,-1,0.30000000000000027,0,0,-54,-19,-23,0,0
amper,am-per,ahher,2/3,3,N,1,2.6,4,1499,315,91,10,120,90,164,0,0,0.30000000000000027,0,0,28,-13,52,0,0
asfalt,as-falt,anzalt,2/3,4,N,0,2.6,4,1499,315,153,1,2,113,268,0,0,0.5,0,0,-2,0,1,0,0
asfalt,as-falt,anfelt,2/3,4,N,0,2.6,4,1499,315,153,4,4,85,268,0,0,0.5,0,0,-2,3,3,-28,0
asfalt,as-falt,arfelt,2/3,4,N,1,2.6,4,1499,315,199,1,4,85,268,0,1,0.5,0,0,44,0,3,-28,0
asfalt,as-falt,asjelt,2/3,4,N,0,2.45,4,1499,315,155,19,45,85,268,0,0,0.3500000000000001,0,0,0,18,44,-28,0
asfalt,as-falt,alfelt,2/3,4,N,0,2.5,4,1499,315,217,1,4,85,268,0,0,0.3999999999999999,0,0,62,0,3,-28,0
asfalt,as-falt,anfilt,2/3,4,N,0,2.9,4,1499,315,153,4,10,37,268,0,0,0.7999999999999998,0,0,-2,3,9,-76,0
asfalt,as-falt,ambalt,2/3,4,N,0,2.35,4,1499,315,63,65,111,113,268,0,0,0.25,0,0,-92,64,110,0,0
asfalt,as-falt,amfelt,2/3,4,N,0,2.75,4,1499,315,63,1,4,85,268,0,0,0.6499999999999999,0,0,-92,0,3,-28,0
asfalt,as-falt,amfilt,2/3,4,N,0,2.9,4,1499,315,63,1,10,37,268,0,0,0.7999999999999998,0,0,-92,0,9,-76,0
asfalt,as-falt,ampalt,2/3,4,N,0,2.4,4,1499,315,63,23,70,113,268,0,0,0.2999999999999998,0,0,-92,22,69,0,0
