aabits	aa-bits	2.93
aad	aad	0.53
ääd	ääd	0.93
aadet	aa-det	0.20
aadete	aa-de-te	0.53
aadetest	aa-de-test	0.27
äädikas	ää-di-kas	0.53
aadress	aad-ress	0.20
aadressbüroost	aad-ress_bü-roost	0.20
aadresse	aad-res-se	2.07
aadressi	aad-res-si	1.27
aadressid	aad-res-sid	1.80
aadressil	aad-res-sil	0.07
aadressilt	aad-res-silt	3.07
aafrika	aaf-ri-ka	2.00
ääl	ääl	0.27
äär	äär	2.40
äärde	äär-de	1.07
aare	aa-re	1.00
ääre	ää-re	6.60
äärealadel	ää-re_a-la-del	1.20
ääred	ää-red	1.27
äärekive	ää-re_ki-ve	0.27
äärel	ää-rel	6.40
äärelinnadesse	ää-re_lin-na-des-se	0.27
äärelinnas	ää-re_lin-nas	3.80
äärelinnast	ää-re_lin-nast	0.33
äärelt	ää-relt	1.13
ääreni	ää-re-ni	2.40
äärepealt	ää-re_pealt	6.20
ääres	ää-res	2.93
äärest	ää-rest	1.47
ääretu	ää-re-tu	0.73
ääretult	ää-re-tult	8.80
aariaid	aa-ri-aid	0.27
aariate	aa-ri-a-te	0.07
äärislaiksus	ää-ris_laik-sus	0.33
äärislaiksuse	ää-ris_laik-su-se	0.13
ääristatud	ää-ris-ta-tud	0.33
ääristavad	ää-ris-ta-vad	0.20
äärmine	äär-mi-ne	1.20
äärmisel	äär-mi-sel	4.53
äärmiselt	äär-mi-selt	0.07
äärmus	äär-mus	0.87
äärmuslik	äär-mus-lik	1.20
äärmust	äär-must	0.53
äärmustesse	äär-mus-tes-se	0.40
äärset	äär-set	0.13
äärsetest	äär-se-test	0.20
äärt	äärt	3.33
äärtega	äär-te-ga	0.87
aas	aas	1.40
aasi	aa-si	0.07
aasia	aa-si-a	1.73
aasimisest	aa-si-mi-sest	0.07
aasin	aa-sin	0.07
aasisin	aa-si-sin	0.27
aasmäe	aas_mäe	0.13
aast	aast	0.13
aasta	aas-ta	0.27
aastaaeg	aas-ta_aeg	1.87
aastaaega	aas-ta_ae-ga	0.07
aastaaja	aas-ta_a-ja	1.87
aastaajal	aas-ta_a-jal	3.07
aastaarv	aas-ta_arv	0.67
aastaarve	aas-ta_ar-ve	0.53
aastaarvu	aas-ta_ar-vu	0.20
aastaauhinna	aas-ta_au_hin-na	0.27
aastad	aas-tad	0.07
aastaeelarve	aas-ta_eel_ar-ve	0.53
aastaga	aas-ta-ga	64.53
aastaid	aas-taid	88.47
aastail	aas-tail	38.07
aastaks	aas-taks	72.07
aastakümme	aas-ta_küm-me	0.73
aastakümmet	aas-ta_küm-met	4.20
aastakümneid	aas-ta_küm-neid	0.07
aastakümnete	aas-ta_küm-ne-te	8.60
aastal	aas-tal	0.20
